,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
156000,49995,13000,71000,99034,83001,69038,95959,117997,122042,51957
157000,55000,10999,69034,90002,85002,71997,94006,120002,100992,51038
158000,54014,10999,71991,90001,109960,67997,92000,157997,120999,51998
159000,50997,10998,76998,96998,100992,66999,95996,115999,97999,62001
160000,56998,14004,94034,100955,90003,67998,93956,121001,107051,55047
161000,54995,11996,79999,95011,89999,68996,102989,122996,102990,63031
162000,52009,11999,73002,96952,92996,66996,99998,120000,109049,57949
163000,58017,16972,87995,96988,154004,78984,100998,125008,113225,56031
164000,54009,12001,75998,132996,93031,73003,101525,126052,103999,53997
165000,85978,11956,84001,115041,94949,65998,95998,123047,111001,54999
166000,53999,11003,77949,107037,92993,69998,116000,128998,130000,57998
167000,56000,12998,75999,104999,90994,69039,99961,141030,104006,54999
168000,53963,11040,78960,107037,89956,69039,100958,132054,170970,58010
169000,58003,11996,96959,122002,108996,83927,113985,135999,105985,58999
170000,63049,15988,82038,131959,102048,88950,110993,217998,127997,56028
171000,60002,14995,156955,110995,99040,75959,123044,133992,113044,68999
172000,54999,11998,77963,117993,99046,72001,102950,136020,121993,61948
173000,85032,10999,77995,130015,99948,73040,109008,140951,114999,61995
174000,56001,11999,80997,146003,195997,80998,101259,138941,122100,57993
175000,55999,12001,82997,103999,114021,90995,105995,221998,111997,58001
176000,63010,32994,106024,124952,118004,74996,105994,129039,114006,59983
177000,76016,13002,106032,150002,113955,75033,106958,152040,159000,69950
178000,64048,14000,92954,114049,105001,79991,114007,132959,126990,57999
179000,57046,12004,79001,106958,100062,74057,119997,129988,119997,66050
180000,61961,12047,84048,118991,104958,76993,106993,137088,116996,60000
181000,61987,11961,80985,120997,132985,85964,108990,162030,117010,61968
182000,62995,13001,89047,134949,109999,79997,111038,139960,141052,60997
183000,60995,13956,86035,108011,105954,81038,108005,138985,124954,64996
184000,62998,14950,90996,113999,98047,78998,110944,137997,115997,61039
185000,65956,12998,110040,110692,97002,80038,117953,137991,148000,66057
186000,65953,15988,96047,114986,109010,82948,114000,142995,117040,61955
187000,59958,12999,84001,115028,125007,87945,125994,223001,157997,63995
188000,72997,15019,89972,116951,138000,111995,131000,215997,127985,69005
189000,73000,13995,91039,117997,133003,116982,166013,196965,150985,71011
190000,72004,14987,99032,141964,140034,113956,141043,147949,126003,62998
191000,63008,13994,88950,119998,104999,80999,115996,175998,228006,73036
192000,68960,14000,94042,149002,135992,110046,136925,155990,134001,64996
193000,63999,18003,155990,148048,182945,88998,152991,215994,144039,67008
194000,71953,19046,87994,131957,132233,101047,117000,160997,144999,65947
195000,68027,13999,105998,162020,134006,103926,132038,179965,174996,78043
196000,71942,16003,111038,126953,125009,83946,134005,288991,176013,75983
197000,81990,16998,94006,162950,148904,119568,131043,149954,130034,67998
198000,63992,13987,94024,129999,110000,88988,125955,149999,131034,65995
199000,62005,12997,95999,130994,121958,93005,126983,154946,141998,104993
200000,73047,14009,92953,132995,121017,87051,119016,151031,132029,69040
201000,73959,19998,94000,125996,112038,87961,128045,174962,143955,75043
202000,68966,14000,98005,134994,122995,90033,128963,159045,144995,68999
203000,69000,13999,91036,132957,111000,85998,123045,148953,133017,68952
204000,65996,13999,92998,137504,123999,105996,126997,167997,134993,71000
205000,69994,16000,101034,138993,114952,86999,128994,161046,148962,72045
206000,72993,33042,96994,132010,119998,109001,132941,205992,147043,69999
207000,66049,15050,93995,174957,114999,94003,121994,153033,154997,68957
208000,75038,18005,120996,130038,116958,87998,146044,201033,161975,82998
209000,74035,14952,96006,146991,145042,92008,137946,155051,136989,73955
210000,71999,15000,99998,127001,115041,108958,127036,154957,142010,71998
211000,68000,13999,102001,138001,129989,87039,125957,160999,145041,72999
212000,71992,14966,101029,130964,127058,103937,134995,157038,133997,78010
213000,68987,13997,102007,279987,122008,93988,130997,160956,135010,72017
214000,84058,16950,111046,141997,142005,91986,134003,188997,140990,75006
215000,91985,16989,104954,133049,126000,93947,135998,170998,146000,96048
216000,74949,14999,100040,140006,150999,93998,130997,194945,143997,76049
217000,70952,15005,108016,136986,124958,91033,133959,162557,142996,72998
218000,75000,16009,103029,134998,130952,96038,149017,173990,162997,82950
219000,73991,15959,102998,138000,135994,93038,134957,170998,153991,77991
220000,73006,13999,106035,144003,137961,97001,133995,169992,146042,74954
221000,80041,14960,101039,138959,133997,94038,169000,165956,147039,76002
222000,81960,18993,107017,138956,125068,120000,133959,165994,146998,75040
223000,72006,15002,105004,133949,128995,94995,163042,172007,174948,76046
224000,75950,15998,106042,154960,163997,101998,140999,190034,149960,79045
225000,76988,14998,101998,139998,135998,97040,139956,174014,149019,81000
226000,73949,15999,106997,139041,135556,134054,148992,181046,149950,78995
227000,75999,16000,103042,139977,144967,116998,192037,173008,154987,82006
228000,75999,15999,107943,147000,171997,95987,135997,174037,152003,83981
229000,73997,16999,102994,154045,125992,100994,144997,174040,172953,76998
230000,78048,20020,110048,156951,154024,101612,163932,178048,156943,81039
231000,78999,15947,110000,150038,133000,104998,139999,181958,154996,76994
232000,77999,16999,106999,155997,153000,98996,141995,200994,160035,78049
233000,73946,15999,115998,145998,131998,97997,146000,175028,149001,78957
234000,75000,16001,105998,152999,135999,102956,152010,176994,153968,95994
235000,75957,20007,110995,169956,142000,100995,150996,180049,172946,77999
236000,75961,15962,112998,162992,134032,110947,151035,181013,172004,81990
237000,76033,15996,130050,148998,135994,122994,149055,186990,163047,79999
238000,81952,15974,111991,161949,144048,103991,156956,184039,189007,85990
239000,100998,16040,136009,158954,147993,109042,151986,185996,171960,78995
240000,103999,15947,118037,152999,140001,104961,155030,184998,159956,86001
241000,99050,22995,123993,145947,145001,103997,173995,188047,167986,98012
242000,91033,20001,125950,177043,153951,109948,168006,205950,171037,78996
243000,81979,17000,121997,154047,137991,126961,171037,198032,161953,86036
244000,82959,17041,116951,159992,134995,110998,162046,197955,169046,81994
245000,79042,15999,114004,160951,137047,106993,161001,185001,178000,84003
246000,86996,16000,112955,181999,154001,106997,161023,186996,166040,99990
247000,92946,17037,112996,160006,140951,104997,156995,192997,163040,81998
248000,82003,20004,117953,154997,149997,111037,156010,202008,170989,81997
249000,82961,18000,117994,164998,159994,119040,153007,196949,162032,90955
250000,81002,15999,115958,163992,150773,110960,153996,195955,162047,90997
251000,80997,17011,119998,161041,142980,112028,154010,231717,172049,156949
252000,83044,15999,120961,165036,195955,109997,158998,223007,248998,96959
253000,96023,16999,132988,203009,160943,116993,162033,192999,199968,88046
254000,90997,16999,124952,204987,168990,109000,161960,216040,171005,91950
255000,85040,16998,126039,197987,160998,116000,164998,239992,197035,86955
256000,98999,16999,118000,226036,146999,110000,155996,199005,186998,87011
257000,85998,16998,122968,159999,152946,136046,156997,195998,173964,84998
258000,84009,17998,145994,190990,156957,120001,168985,193956,174000,96004
259000,87999,17999,125998,189013,174997,126995,208970,205048,177993,85997
260000,91997,17001,125042,170995,163889,163948,191486,222040,197989,92962
261000,114918,18951,154950,176984,159995,116997,164984,203035,183964,91002
262000,93974,18002,123004,174991,177968,175955,185044,243988,261996,102038
263000,98003,19994,124000,197995,149127,117994,161958,204995,182037,91010
264000,88990,18998,129039,186012,159947,114505,163999,214999,177993,88028
265000,86009,18994,129000,174951,153032,119008,172946,207992,176041,87998
